"region","mineral","year","value"
"Mexico","steel",2040,1.37537413391785
"Mexico","steel",2045,1.28096382931474
"Mexico","steel",2050,1.18655352471163
"Mexico","steel",2055,1.18655352471163
"Mexico","steel",2060,1.18655352471163
"Mexico","steel",2065,1.18655352471163
"Mexico","steel",2070,1.18655352471163
"Mexico","steel",2075,1.18655352471163
"Mexico","steel",2080,1.18655352471163
"Mexico","steel",2085,1.18655352471163
"Mexico","steel",2090,1.18655352471163
"Mexico","steel",2095,1.18655352471163
"Mexico","steel",2100,1.18655352471163
"Middle East","steel",2015,2.01655878851093
"Middle East","steel",2020,1.88266252034879
"Middle East","steel",2025,1.74876625218664
"Middle East","steel",2030,1.6148699840245
"Middle East","steel",2035,1.48097371586236
"Middle East","steel",2040,1.34707744770022
"Middle East","steel",2045,1.21318117953808
"Middle East","steel",2050,1.07928491137594
"Middle East","steel",2055,1.07928491137594
"Middle East","steel",2060,1.07928491137594
"Middle East","steel",2065,1.07928491137594
"Middle East","steel",2070,1.07928491137594
"Middle East","steel",2075,1.07928491137594
"Middle East","steel",2080,1.07928491137594
"Middle East","steel",2085,1.07928491137594
"Middle East","steel",2090,1.07928491137594
"Middle East","steel",2095,1.07928491137594
"Middle East","steel",2100,1.07928491137594
"Pakistan","steel",2015,2.57078290668258
"Pakistan","steel",2020,2.43673876152593
"Pakistan","steel",2025,2.30269461636927
"Pakistan","steel",2030,2.16865047121262
"Pakistan","steel",2035,2.03460632605597
"Pakistan","steel",2040,1.90056218089932
"Pakistan","steel",2045,1.76651803574266
"Pakistan","steel",2050,1.63247389058601
"Pakistan","steel",2055,1.63247389058601
"Pakistan","steel",2060,1.63247389058601
"Pakistan","steel",2065,1.63247389058601
"Pakistan","steel",2070,1.63247389058601
"Pakistan","steel",2075,1.63247389058601
"Pakistan","steel",2080,1.63247389058601
"Pakistan","steel",2085,1.63247389058601
"Pakistan","steel",2090,1.63247389058601
"Pakistan","steel",2095,1.63247389058601
"Pakistan","steel",2100,1.63247389058601
"Russia","steel",2015,1.79546132189432
"Russia","steel",2020,1.66760479569906
"Russia","steel",2025,1.5397482695038
"Russia","steel",2030,1.41189174330854
"Russia","steel",2035,1.28403521711328
"Russia","steel",2040,1.15617869091801
"Russia","steel",2045,1.02832216472275
"Russia","steel",2050,0.900465638527489
"Russia","steel",2055,0.900465638527489
"Russia","steel",2060,0.900465638527489
"Russia","steel",2065,0.900465638527489
"Russia","steel",2070,0.900465638527489
"Russia","steel",2075,0.900465638527489
"Russia","steel",2080,0.900465638527489
"Russia","steel",2085,0.900465638527489
"Russia","steel",2090,0.900465638527489
"Russia","steel",2095,0.900465638527489
"Russia","steel",2100,0.900465638527489
"South Africa","steel",2015,2.04134030543981
"South Africa","steel",2020,1.90279091505743
"South Africa","steel",2025,1.76424152467505
"South Africa","steel",2030,1.62569213429266
"South Africa","steel",2035,1.48714274391028
"South Africa","steel",2040,1.3485933535279
"South Africa","steel",2045,1.21004396314552
"South Africa","steel",2050,1.07149457276314
