"region","supplysector","subsector","stub.technology","year","minicam.non.energy.input","input.cost"
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2090,"non-energy",3.35597239804305
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2090,"non-energy",0.535834789881147
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2090,"non-energy",3.35597239804305
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2095,"non-energy",3.25006932842186
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2095,"non-energy",0.508816688320435
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2095,"non-energy",3.25006932842186
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2100,"non-energy",3.14416625880068
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2100,"non-energy",0.481798586759723
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2100,"non-energy",3.14416625880068
"Australia_NZ","elect_td_bld","elect_td_bld","elect_td_bld",2015,"non-energy",2.28881107960771
"Australia_NZ","elect_td_ind","elect_td_ind","elect_td_ind",2015,"non-energy",0.350062608993191
"Australia_NZ","elect_td_trn","elect_td_trn","elect_td_trn",2015,"non-energy",2.28881107960771
"Australia_NZ","elect_td_bld","elect_td_bld","elect_td_bld",2020,"non-energy",2.20771598680289
"Australia_NZ","elect_td_ind","elect_td_ind","elect_td_ind",2020,"non-energy",0.345594945379706
"Australia_NZ","elect_td_trn","elect_td_trn","elect_td_trn",2020,"non-energy",2.20771598680289
"Australia_NZ","elect_td_bld","elect_td_bld","elect_td_bld",2025,"non-energy",2.1062746155797
"Australia_NZ","elect_td_ind","elect_td_ind","elect_td_ind",2025,"non-energy",0.336150640511466
"Australia_NZ","elect_td_trn","elect_td_trn","elect_td_trn",2025,"non-energy",2.1062746155797
"Australia_NZ","elect_td_bld","elect_td_bld","elect_td_bld",2030,"non-energy",1.97468342297621
"Australia_NZ","elect_td_ind","elect_td_ind","elect_td_ind",2030,"non-energy",0.31916352187381
"Australia_NZ","elect_td_trn","elect_td_trn","elect_td_trn",2030,"non-energy",1.97468342297621
